0,1
2,1
1,0
3,0
4,0
0,3
5,3
3,5
6,5
7,5
5,6
2,6
8,6
1,2
6,2
9,2
5,7
10,7
11,7
7,10
12,10
13,10
14,10
10,12
8,12
15,12
16,12
6,8
12,8
17,8
18,8
12,15
19,15
20,15
21,15
15,19
22,19
23,19
24,19
19,22
25,22
26,22
22,25
27,25
28,25
25,27
29,27
30,27
27,29
31,29
32,29
29,31
26,31
33,31
22,26
31,26
34,26
2,9
35,9
36,9
0,4
37,4
38,4
27,30
39,30
30,39
40,39
41,39
42,39
31,33
43,33
33,43
44,43
45,43
46,43
29,32
47,32
32,47
48,47
49,47
50,47
7,11
10,13
10,14
12,16
8,17
8,18
15,20
15,21
19,23
19,24
25,28
26,34
9,35
9,36
4,37
4,38
39,40
39,41
39,42
43,44
43,45
43,46
47,48
47,49
47,50
