0,1
2,1
1,0
3,0
4,0
0,3
5,3
3,5
6,5
7,5
5,6
2,6
8,6
1,2
6,2
9,2
6,8
10,8
11,8
8,10
12,10
13,10
10,12
14,12
15,12
12,14
16,14
17,14
14,16
11,16
18,16
8,11
16,11
19,11
0,4
20,4
21,4
2,9
22,9
23,9
14,17
7,24
25,24
26,24
27,24
5,7
24,7
28,7
29,7
12,15
30,15
15,30
31,30
30,31
32,31
33,31
31,32
34,32
35,32
36,32
37,38
39,38
38,37
40,37
41,37
42,43
34,43
44,43
43,42
45,42
46,42
42,45
47,45
48,45
45,47
49,47
50,47
47,49
34,49
51,49
32,34
43,34
49,34
31,33
39,33
52,33
53,33
38,39
33,39
54,39
55,39
37,40
37,41
56,41
57,41
58,41
42,46
59,46
60,46
46,59
61,59
62,59
59,61
48,61
63,61
45,48
61,48
64,48
10,13
16,18
11,19
4,20
4,21
9,22
9,23
24,25
24,26
24,27
7,28
7,29
32,35
32,36
43,44
47,50
49,51
33,52
33,53
39,54
39,55
41,56
41,57
41,58
46,60
59,62
61,63
48,64
