0,1
2,1
1,0
3,0
4,0
0,3
5,3
3,5
6,5
7,5
5,6
2,6
8,6
1,2
6,2
9,2
5,7
10,7
7,10
8,10
11,10
6,8
10,8
12,8
8,12
13,12
14,12
15,12
2,9
16,9
17,9
0,4
18,4
19,4
12,13
20,13
21,13
22,23
20,23
24,23
23,22
25,22
26,22
22,25
27,25
28,25
25,27
29,27
30,27
27,29
20,29
31,29
13,20
23,20
29,20
22,26
32,26
26,32
28,32
33,32
25,28
32,28
34,28
32,33
35,33
36,33
33,35
37,35
38,35
35,37
34,37
39,37
28,34
37,34
40,34
29,31
41,31
31,41
42,41
43,41
44,41
13,21
45,21
46,21
47,21
10,11
12,14
12,15
9,16
9,17
4,18
4,19
23,24
27,30
33,36
35,38
37,39
34,40
41,42
41,43
41,44
21,45
21,46
21,47
