0,1
2,1
3,1
1,0
4,0
5,0
0,4
6,4
4,6
7,6
8,6
6,7
2,7
9,7
1,2
7,2
10,2
6,8
11,8
12,8
8,11
9,11
13,11
7,9
11,9
14,9
2,10
0,5
15,5
16,5
17,18
19,18
20,18
11,13
21,13
22,13
23,13
18,17
24,17
25,17
17,24
26,24
27,24
24,26
28,26
29,26
26,28
19,28
30,28
18,19
28,19
31,19
9,14
20,14
32,14
33,14
18,20
14,20
34,20
17,25
35,25
25,35
36,35
37,35
38,35
28,30
39,30
30,39
40,39
41,39
42,39
20,34
43,34
44,34
45,34
1,3
8,12
5,15
5,16
13,21
13,22
13,23
24,27
26,29
19,31
14,32
14,33
35,36
35,37
35,38
39,40
39,41
39,42
34,43
34,44
34,45
